0 59.7 "08.04 17:00"
1 62.1 "08.04 18:00"
2 65.3 "08.04 19:00"
3 65.7 "08.04 20:00"
4 68 "08.04 21:00"
5 68.4 "08.04 22:00"
6 68.6 "08.04 23:00"
7 67.7 "09.04 00:00"
8 65 "09.04 01:00"
9 60.7 "09.04 02:00"
10 57 "09.04 03:00"
11 52.4 "09.04 04:00"
12 47.7 "09.04 05:00"
13 44.6 "09.04 06:00"
14 46.3 "09.04 08:00"
15 59.2 "09.04 09:00"
16 68.7 "09.04 10:00"
17 69.2 "09.04 11:00"
18 70 "09.04 12:00"
19 73.1 "09.04 13:00"
20 75.3 "09.04 14:00"
21 75.9 "09.04 15:00"
22 72 "09.04 16:00"
23 70.3 "09.04 17:00"
24 65.4 "09.04 18:00"
25 66 "09.04 19:00"
26 58.3 "09.04 20:00"
27 56.4 "09.04 21:00"
28 55.3 "09.04 22:00"
29 56.8 "09.04 23:00"
30 55.9 "10.04 00:00"
31 47.5 "10.04 01:00"
32 33.6 "10.04 02:00"
33 44.6 "10.04 03:00"
34 41.5 "10.04 04:00"
35 34 "10.04 05:00"
36 26.4 "10.04 06:00"
37 21 "10.04 07:00"
38 32.3 "10.04 08:00"
39 46.2 "10.04 09:00"
40 55.4 "10.04 10:00"
41 62 "10.04 11:00"
42 64.7 "10.04 12:00"
43 66 "10.04 13:00"
44 67.7 "10.04 14:00"
45 69.7 "10.04 15:00"
46 71.4 "10.04 16:00"
47 72.4 "10.04 17:00"
